control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak605	1	0	45	15	0	1	10	5
peak606	36	15	60	38	26	9	115	24
peak607	78	58	564	847	68	17	488	301
peak608	0	0	14	4	0	3	45	14
peak609	0	0	146	5	0	0	508	106
peak610	9	14	245	44	13	8	323	145
peak611	8	3	95	28	1	1	76	45
peak612	2	2	48	53	2	0	42	27
peak613	61	33	926	424	41	14	635	223
peak614	59	33	380	243	25	14	262	115
peak615	51	19	351	224	22	10	238	106
peak616	69	39	340	221	46	15	242	113
peak617	17	11	104	54	10	6	92	73
peak618	19	15	96	29	10	3	119	71
peak619	15	4	75	41	8	4	130	48
peak620	6	5	36	7	5	0	58	20
peak621	1	3	70	7	0	0	331	65
peak622	9	7	294	56	8	4	506	163
peak623	23	15	90	78	13	1	41	32
peak624	19	5	204	118	11	4	154	60
peak625	27	8	105	36	10	3	43	16
peak626	28	14	179	176	13	5	102	110
peak627	8	3	85	87	6	3	39	30
peak628	0	1	127	26	0	1	78	17
peak629	51	25	234	164	34	6	332	97
peak630	5	5	58	41	5	2	71	22
peak631	41	11	498	201	30	6	379	109
peak632	33	10	192	113	17	3	201	79
peak633	22	12	209	93	9	2	149	58
peak634	5	3	193	80	4	1	180	91
peak635	1	3	50	12	0	1	46	20
peak636	1	4	133	14	2	1	799	188
peak637	21	12	31	11	7	3	55	6
peak638	21	10	77	33	15	4	100	41
peak639	89	26	531	57	71	14	1046	212
peak640	20	9	104	63	15	3	91	22
peak641	3	0	16	1	4	1	91	18
peak642	34	23	125	35	32	4	106	27
peak643	3	1	51	20	1	3	55	48
peak644	50	19	279	177	19	12	204	146
peak645	24	8	167	47	15	3	124	48
peak646	33	10	193	94	14	4	102	29
peak647	41	15	237	77	22	9	327	112
peak648	53	28	471	300	31	6	384	121
peak649	25	7	110	62	16	6	139	39
peak650	23	9	116	38	4	4	171	23
peak651	46	14	238	53	29	6	152	31
peak652	8	0	178	41	1	0	150	83
peak653	10	8	242	91	6	3	198	133
peak654	15	8	203	106	12	3	141	32
peak655	76	30	629	317	38	6	387	144
peak656	11	2	129	53	7	1	68	30
peak657	3	1	180	62	3	1	274	197
peak658	21	9	51	54	10	6	59	24
peak659	14	8	81	71	12	0	58	23
peak660	34	10	241	98	32	4	265	44
peak661	26	10	162	63	18	5	163	29
peak662	32	9	158	171	26	7	164	80
peak663	35	18	82	66	44	5	86	30
peak664	4	2	173	146	9	0	137	68
peak665	7	6	82	30	9	1	87	70
peak666	13	2	87	36	5	0	83	19
peak667	73	17	379	278	41	10	443	145
peak668	52	8	219	109	43	6	290	45
peak669	15	3	110	25	6	2	72	13
peak670	1	0	63	13	2	2	267	108
peak671	35	17	338	247	31	8	357	105
peak672	13	11	101	40	15	4	49	31
peak673	22	9	116	75	19	5	70	50
peak674	27	5	133	72	11	3	204	69
peak675	32	10	388	223	13	8	289	92
peak676	13	6	92	15	6	0	57	22
peak677	5	5	411	109	1	2	179	81
peak678	24	3	58	50	14	2	85	23
peak679	29	10	261	148	19	6	278	58
peak680	3	6	101	72	1	1	61	18
peak681	9	6	70	25	5	4	47	20
peak682	14	3	195	85	7	1	115	43
peak683	67	25	590	354	31	10	343	118
peak684	23	12	60	77	12	5	32	46
peak685	27	7	108	82	12	1	83	42
