control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak320	31	34	23	489	317	254	10	32	29	217	303	433
peak321	29	18	23	260	178	179	16	32	28	125	151	215
peak322	18	28	11	405	309	265	20	17	16	160	235	311
peak323	23	17	13	60	43	51	13	20	15	37	43	66
peak324	30	16	22	154	87	74	18	33	29	59	93	116
peak325	59	48	50	244	157	99	54	66	58	108	137	182
peak326	27	13	17	93	54	44	17	12	31	33	41	60
peak327	14	15	15	342	221	188	16	16	17	141	203	237
peak328	307	134	230	102	74	97	258	410	417	86	120	188
peak329	58	27	34	337	175	201	44	62	53	175	286	347
peak330	32	22	28	208	91	132	35	55	46	91	141	210
peak331	18	12	11	56	36	41	21	19	17	38	50	67
peak332	19	8	20	30	19	27	9	20	17	29	30	35
peak333	100	40	60	111	75	74	57	76	65	67	86	103
peak334	60	31	50	243	153	151	53	59	63	138	202	208
peak335	1	5	6	36	20	8	6	10	2	8	21	29
peak336	1	2	3	14	7	8	3	2	3	8	10	23
peak337	5	0	4	14	15	18	0	1	6	5	8	20
peak338	26	28	17	179	102	108	18	27	32	115	194	173
peak339	16	13	18	199	104	121	15	11	21	108	147	218
peak340	6	4	6	130	67	78	6	5	10	63	64	108
peak341	104	54	62	1019	626	660	75	70	104	447	701	1017
peak342	449	349	332	6167	4220	3983	404	467	485	3129	4661	5871
peak343	5	2	5	35	30	22	11	14	12	47	65	89
peak344	9	13	8	107	74	74	21	24	23	124	193	217
peak345	45	42	30	95	81	75	58	83	75	58	105	154
peak346	324	212	277	1640	974	987	293	447	420	791	1152	1625
peak347	67	46	48	101	86	84	59	45	50	47	87	96
peak348	8	0	4	12	7	11	4	4	2	7	13	17
peak349	0	0	0	12	5	9	1	3	1	1	5	6
peak350	20	14	11	69	43	36	10	16	24	29	33	70
peak351	50	32	39	127	112	117	33	40	19	71	95	119
peak352	4	3	6	10	3	6	6	4	7	8	14	12
peak353	14	11	3	58	30	45	14	22	15	37	42	66
peak354	18	6	17	47	32	32	22	16	14	27	46	75
