control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak192	658	451	807	442	232	297	225	238
peak193	4280	2726	3846	2547	1261	1296	1379	1631
peak194	379	215	504	342	87	87	102	142
peak195	668	481	564	568	233	259	370	395
peak196	232	178	228	184	80	116	122	183
peak197	141	111	226	135	49	61	74	121
peak198	222	162	345	217	107	97	115	160
peak199	503	305	620	332	190	171	177	253
peak200	219	151	270	159	108	106	98	118
peak201	1570	1068	2129	1387	577	636	692	883
peak202	896	593	1335	655	360	313	456	494
peak203	189	164	290	119	73	80	106	126
peak204	185	124	485	475	60	75	286	418
peak205	226	192	322	314	92	100	158	250
peak206	1871	1227	2726	1361	712	700	859	1037
peak207	964	638	1168	573	431	422	426	489
peak208	5135	3229	8035	3540	1776	1775	2087	2367
peak209	324	185	395	227	130	126	155	191
peak210	571	379	746	303	191	213	215	286
peak211	225	143	276	123	65	83	92	110
peak212	368	242	420	197	117	105	134	201
peak213	120	75	139	54	51	66	56	56
peak214	592	423	549	389	253	243	243	276
peak215	88	71	161	79	26	25	37	55
peak216	2367	1381	1330	872	499	563	545	582
peak217	3054	1807	2796	1342	850	824	752	915
peak218	4440	2692	2514	2608	1236	1325	1060	1424
peak219	5190	3373	6686	3436	1647	1679	1650	2198
peak220	144	122	149	238	51	47	113	156
peak221	115	82	107	85	74	61	110	130
peak222	450	303	607	349	217	231	280	371
peak223	1535	1085	980	834	590	627	725	819
peak224	81	62	144	33	40	28	7	15
peak225	75	54	175	70	26	34	44	61
peak226	3453	2035	2269	2006	1236	1248	688	772
peak227	3285	2064	2227	1597	874	1041	738	971
peak228	620	406	860	404	287	317	284	339
peak229	860	620	1286	941	369	377	628	692
peak230	265	186	698	274	78	70	123	175
peak231	121	75	236	123	69	65	95	137
peak232	1142	877	973	655	548	539	549	603
peak233	551	386	508	263	234	271	224	292
peak234	486	323	754	257	175	165	166	244
peak235	117	79	166	83	40	54	26	37
peak236	179	162	254	83	66	67	57	88
peak237	454	331	1006	383	172	177	216	222
peak238	5228	3479	8030	4093	2360	2211	3181	4099
peak239	3497	2569	3761	2122	1387	1637	1713	2402
peak240	5182	3421	6984	3866	1970	2158	2806	3725
peak241	197	142	350	252	194	160	247	305
peak242	4673	3548	3795	3114	2106	2183	2427	2745
peak243	18385	13072	15543	10814	7199	7510	7572	9288
peak244	1679	1350	1461	1493	628	631	1023	1349
peak245	4170	3012	3811	3180	1734	1769	2036	2398
peak246	139510	98994	133220	71243	98664	90327	40956	50276
peak247	15821	11102	21235	10997	6747	7475	7672	9363
peak248	75	50	118	57	53	40	51	87
peak249	5910	4775	8163	7310	2353	2281	3042	3579
peak250	506	552	559	1211	194	247	606	850
peak251	120	77	189	94	64	59	66	75
peak252	95	47	202	106	36	33	64	92
peak253	1445	1114	951	548	347	368	348	359
peak254	500	318	468	289	240	267	308	366
peak255	911	682	481	358	340	372	474	476
peak256	196	159	243	134	80	82	98	109
peak257	214	147	356	187	137	146	169	202
peak258	159	132	185	265	52	55	132	192
peak259	578	403	512	295	233	250	271	355
peak260	13854	8703	4817	4116	3657	3721	2908	3219
peak261	316	288	218	263	86	124	168	218
peak262	1664	1274	1039	1100	753	822	717	974
peak263	2783	2103	1376	1062	1110	1144	924	1148
peak264	9730	6389	12475	8757	4320	4570	4115	4839
peak265	16237	10490	12528	8125	6333	6427	5406	6434
peak266	2389	1623	2507	1571	1005	960	862	1098
peak267	460	284	577	369	198	181	165	211
