control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak434	154	622	660	1306	102	109	267	508
peak435	280	589	2095	3817	344	375	1390	2014
peak436	332	564	634	743	316	354	296	498
peak437	723	1292	6944	8271	715	564	3279	4007
peak438	1037	1642	5915	7157	796	667	2952	3007
peak439	2394	4908	851	1646	3347	2373	889	1003
peak440	303	363	699	749	223	143	43	58
peak441	518	740	1271	2354	322	303	564	669
peak442	27	69	218	416	46	34	99	267
peak443	257	453	990	1098	149	217	407	814
peak444	180	261	806	1330	91	106	560	464
peak445	159	334	454	816	154	105	224	122
peak446	404	319	1664	859	166	271	275	784
peak447	203	286	798	705	273	186	314	371
peak448	267	285	912	894	223	196	644	556
peak449	6	17	172	186	53	13	678	216
peak450	836	1644	1489	2188	493	878	222	1566
peak451	181	425	459	623	202	220	346	334
peak452	412	558	1433	1459	320	314	800	648
peak453	265	868	1410	3123	241	535	653	1505
peak454	180	576	635	1302	78	38	101	156
peak455	40	65	251	486	20	45	44	209
peak456	273	1033	339	959	260	580	84	457
peak457	15	15	190	224	26	21	148	434
peak458	224	705	418	1269	226	208	339	521
peak459	206	243	673	776	64	137	134	515
peak460	161	181	381	690	45	115	125	204
peak461	76	424	812	3820	69	161	499	963
peak462	91	254	248	721	23	45	85	84
peak463	95	187	168	573	50	130	106	292
peak464	1017	2168	3809	5189	861	944	2111	3279
peak465	138	147	1051	1098	114	53	473	339
peak466	118	204	2100	2422	97	117	351	580
peak467	176	327	839	1047	162	173	615	126
peak468	129	289	547	477	121	164	37	334
peak469	223	765	1162	1641	242	315	707	186
peak470	50	290	65	812	49	11	0	61
peak471	57	144	656	901	59	56	0	311
peak472	156	282	849	1481	97	138	270	802
peak473	380	1294	4647	10492	326	290	1452	2763
peak474	165	313	352	577	107	74	137	86
peak475	274	468	1712	1646	307	206	1399	779
peak476	136	137	467	469	127	62	300	341
peak477	475	1172	1132	1856	468	606	992	1370
peak478	18	42	306	236	7	10	41	103
peak479	30	56	113	472	18	12	70	43
peak480	1573	3001	3207	4332	1402	1190	2171	1874
peak481	241	242	3596	2924	250	231	1965	2105
peak482	88	248	490	1039	99	55	240	234
peak483	98	178	1138	772	81	40	328	180
peak484	36	104	396	766	17	34	0	155
peak485	39	86	86	510	8	16	0	248
peak486	66	144	918	1520	33	39	167	487
peak487	2218	2727	2828	2913	426	737	289	800
peak488	3717	4349	2203	1854	591	1369	526	472
peak489	4392	5227	18758	16186	837	1593	2101	5370
peak490	1897	2225	2499	2066	336	745	297	682
peak491	3092	3795	15075	12056	572	1223	1418	4357
peak492	105	326	1091	1462	95	104	676	655
peak493	274	616	347	859	207	267	46	436
peak494	273	768	375	1523	228	298	423	989
peak495	2085	8947	12039	35212	1448	2090	3510	7823
peak496	3970	19182	5555	18568	2794	4345	1852	6375
peak497	208	1020	718	2057	149	270	241	1084
peak498	18	118	461	1058	41	78	151	242
peak499	1320	2403	3408	3773	943	1656	1589	2795
peak500	131	531	1034	2425	219	299	580	1581
peak501	17	109	267	1136	23	74	131	236
peak502	14	63	308	431	8	31	0	162
peak503	10	82	244	679	11	22	48	256
peak504	223	571	482	1179	227	456	534	941
peak505	73	237	604	1712	140	98	445	613
peak506	62	269	448	929	89	134	269	331
peak507	47	151	249	1080	20	59	172	0
peak508	1684	4502	2406	4466	1296	1930	1187	2426
peak509	1364	7110	3774	14543	876	178	1963	607
peak510	242	1609	307	1257	230	50	232	104
peak511	118	375	432	1103	51	172	380	627
peak512	363	872	1588	2519	431	802	866	3916
peak513	450	1341	1094	2669	436	639	979	1304
peak514	82	314	269	884	63	123	104	549
peak515	69	171	299	594	42	63	59	2
peak516	17	52	32	304	28	80	38	265
peak517	16	98	195	545	0	0	0	31
peak518	42	218	201	674	25	51	50	89
peak519	46	148	280	671	65	142	330	616
peak520	37	236	125	980	50	135	37	511
peak521	136	410	1105	1644	136	153	930	951
peak522	656	1177	1636	2117	576	624	680	1379
peak523	44	161	202	540	31	57	17	316
peak524	68	316	495	1938	36	30	106	173
peak525	87	231	226	1172	24	51	70	164
peak526	3147	17125	11787	60903	1883	1905	5140	8406
peak527	2003	10526	784	4061	1100	1051	275	367
peak528	3229	15652	10395	24967	2112	1607	3484	3159
peak529	107	447	497	1184	60	61	64	73
peak530	96	260	840	1109	116	173	273	674
peak531	213	356	461	731	93	242	131	282
peak532	184	314	883	2067	96	121	585	707
peak533	300	961	686	1992	317	194	563	532
peak534	26	109	139	711	10	47	135	324
peak535	67	233	532	1381	73	48	145	295
peak536	108	348	485	1310	140	63	449	177
peak537	131	105	53	21	112	95	30	54
peak538	8	64	0	392	7	6	0	18
peak539	88	180	430	491	27	52	0	110
peak540	159	469	414	975	102	171	42	429
peak541	212	897	1475	4025	530	556	2055	1063
peak542	146	375	780	1515	187	87	572	337
peak543	91	195	186	739	50	134	162	345
peak544	843	3201	7423	23786	268	512	1687	4316
peak545	165	341	489	750	75	115	138	238
peak546	28	51	31	241	82	593	27	1775
peak547	901	3765	2212	5544	800	2206	799	3094
peak548	44	129	160	689	83	65	131	208
peak549	55	113	233	555	31	46	28	114
peak550	64	211	1163	2198	49	50	558	510
peak551	88	228	171	328	111	233	386	337
peak552	66	199	141	656	49	92	0	90
peak553	145	513	464	1056	89	196	215	651
peak554	15	26	128	428	15	29	0	150
peak555	59	213	235	608	26	21	60	75
peak556	39	88	546	823	28	17	85	32
peak557	28	36	160	601	3	0	32	0
peak558	73	376	141	749	17	18	24	1
peak559	124	736	762	2631	52	37	145	110
peak560	1086	3119	9177	18882	322	796	1353	5242
peak561	29	40	139	431	12	3	0	37
peak562	57	61	2999	1402	62	45	1620	1227
peak563	100	504	313	1311	91	263	189	444
peak564	162	710	529	1060	94	238	143	629
peak565	1087	4113	1675	4466	2034	738	2031	1008
peak566	85	360	902	2974	196	63	1193	680
peak567	1653	5305	2447	7345	2480	825	3548	954
peak568	312	242	524	583	98	77	173	86
peak569	329	313	1052	653	111	81	123	289
peak570	190	246	1056	741	55	53	39	330
peak571	77	122	627	323	39	41	45	0
peak572	111	110	657	579	50	24	195	97
peak573	256	342	5464	2596	100	68	447	772
peak574	130	205	542	666	30	71	166	107
peak575	352	578	2792	3770	244	394	1657	2941
peak576	68	126	545	829	52	30	257	193
peak577	21	46	152	295	34	54	184	229
peak578	413	963	467	1674	410	580	498	778
peak579	148	314	950	1194	162	225	571	652
peak580	81	83	460	199	79	101	215	455
peak581	429	879	1050	1464	1494	969	2139	2286
peak582	902	1884	4961	7064	3599	1996	9414	8932
peak583	1195	2560	18756	30550	4102	2298	32876	31875
peak584	184	310	657	649	193	199	306	651
peak585	228	399	790	714	179	231	450	437
peak586	405	559	1127	1609	292	227	404	927
peak587	143	237	842	540	80	136	63	215
peak588	313	765	2683	3379	171	306	595	1709
peak589	185	460	2538	3985	161	183	709	2705
peak590	154	309	663	937	94	117	68	377
peak591	141	280	1456	1305	83	120	228	444
peak592	249	416	761	763	192	241	159	232
peak593	264	572	787	1791	189	275	393	560
peak594	257	732	618	1602	163	317	327	467
peak595	16	89	458	682	10	31	133	331
peak596	153	314	439	912	87	85	78	139
peak597	413	373	1196	927	254	310	418	482
