control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak444	440	382	373	1650	2468	1159	432	303	364	1434	1548	1634
peak445	24	19	18	57	95	50	10	9	12	52	77	82
peak446	86	58	71	126	163	80	98	60	82	113	159	172
peak447	33	33	35	90	198	103	42	31	42	87	122	147
peak448	194	143	199	644	846	392	195	135	221	548	657	707
peak449	181	129	170	342	280	198	180	110	157	231	303	262
peak450	114	89	110	347	459	261	70	38	44	252	182	207
peak451	273	235	317	881	1117	613	248	148	195	545	490	530
peak452	23	6	24	88	97	45	19	9	16	28	38	34
peak453	91	81	90	239	348	311	29	24	32	99	134	113
peak454	64	60	78	212	439	273	29	19	28	93	120	148
peak455	42	27	34	89	138	115	14	11	14	30	35	28
peak456	74	48	48	119	174	95	47	35	58	96	132	154
peak457	54	54	77	78	112	57	189	124	204	161	244	204
peak458	141	125	150	414	684	369	411	274	372	1040	1269	1290
peak459	262	206	258	672	1087	554	698	511	589	1605	1959	1940
peak460	191	181	190	318	541	272	115	89	148	251	278	290
peak461	318	277	399	933	1659	847	247	191	244	766	1014	1083
peak462	473	415	451	847	1336	722	334	264	384	602	817	808
peak463	159	103	167	319	401	219	105	87	114	210	284	294
