control_input	control_input.1	control_input.2	control_input.3	control_input.4	control_IP	control_IP.1	control_IP.2	control_IP.3	control_IP.4	treatment_input	treatment_input.1	treatment_input.2	treatment_input.3	treatment_input.4	treatment_IP	treatment_IP.1	treatment_IP.2	treatment_IP.3	treatment_IP.4
peak231	331	21	34	117	663	424	72	106	1051	110	273	27	22	43	0	144	90	200	516	104
peak232	33	0	1	3	0	6	1	2	105	0	21	0	0	0	0	9	2	0	59	0
peak233	14	0	1	2	0	2	0	3	57	1	5	1	1	0	0	17	1	1	22	0
peak234	33	1	4	8	0	72	20	8	271	4	11	0	0	1	0	92	28	39	187	12
peak235	115	2	6	22	0	67	13	11	392	8	60	2	4	21	0	263	12	13	248	5
peak236	10	19	31	72	0	6	49	78	233	40	16	54	31	27	59	3	49	53	71	48
peak237	2	5	10	49	0	9	36	35	197	38	15	14	7	24	0	23	32	42	150	42
peak238	3	32	73	53	0	27	102	163	228	137	13	46	39	16	0	7	100	182	89	125
peak239	0	0	3	6	0	0	12	7	81	13	0	0	2	14	0	0	7	24	155	7
peak240	54	38	37	65	0	165	77	125	113	85	39	65	51	72	0	28	112	171	83	113
peak241	88	82	161	248	1	1111	1478	2127	5330	1874	52	241	96	42	59	415	1549	3138	2668	1916
peak242	10	14	49	38	0	0	5	13	7	4	6	48	17	8	0	0	6	12	63	8
peak243	5	11	19	12	0	37	71	165	102	102	0	19	12	3	0	18	100	145	62	129
peak244	31	2	0	19	41	189	19	9	105	12	23	2	0	12	0	103	18	30	203	2
peak245	19	23	46	25	0	111	88	153	131	149	22	40	22	17	0	59	115	152	129	150
peak246	26	70	116	146	0	43	189	296	156	121	33	94	95	84	14	57	159	392	130	157
peak247	37	29	60	43	596	28	57	98	135	71	31	51	49	21	27	6	100	169	67	85
peak248	7	16	47	29	0	11	51	71	42	45	13	30	35	11	0	5	41	41	49	43
peak249	29	7	5	8	0	127	53	47	56	53	12	12	3	1	0	124	46	61	50	48
peak250	20	241	583	316	0	17	187	263	272	189	13	334	324	61	128	3	211	304	73	214
peak251	9	108	240	156	1	4	243	501	191	230	8	220	121	29	190	1	292	396	32	298
peak252	8	135	322	114	0	8	273	469	210	189	12	211	137	27	24	10	317	396	58	271
peak253	20	29	54	31	0	20	62	103	31	46	16	43	24	49	16	18	67	72	99	46
peak254	49	9	5	0	0	264	48	48	25	38	37	13	5	25	0	152	56	35	396	41
peak255	54	0	0	5	0	1425	5	9	53	12	176	1	1	3	0	4688	5	5	228	12
peak256	1	1	0	0	0	2	7	20	1	10	0	0	22	1	0	0	33	136	18	2
peak257	0	0	1	0	0	2	21	23	5	7	1	0	8	0	0	0	26	127	35	2
peak258	0	0	0	0	0	3	25	33	9	5	0	0	18	1	0	0	31	182	112	0
peak259	12	1	2	0	0	9	3	8	1	1	29	3	0	16	0	134	4	22	138	5
peak260	1	2	3	1	0	8	6	11	2	6	7	6	3	6	0	8	9	8	68	4
peak261	1	3	3	2	0	5	63	90	72	37	6	6	6	3	0	22	77	139	92	53
peak262	6	5	13	18	0	22	17	10	25	14	9	8	1	7	0	3	8	35	105	18
peak263	1	6	10	19	0	21	22	27	274	30	6	4	5	6	0	13	15	40	154	18
peak264	10	6	9	17	0	23	20	57	208	44	12	9	6	5	0	17	15	50	58	35
peak265	19	38	83	140	3	122	224	352	1403	159	29	107	148	88	44	195	267	587	1225	186
peak266	44	14	21	71	0	223	47	47	552	24	176	33	32	38	0	1319	48	156	2539	21
peak267	6	10	8	29	0	13	3	9	189	5	1	11	3	22	0	4	3	6	337	6
peak268	42	3	2	9	0	65	5	7	3	5	97	4	1	19	0	146	3	1	26	2
peak269	25	16	7	31	0	83	24	32	81	14	11	15	3	7	0	69	21	42	77	16
peak270	344	11	10	96	0	298	79	92	1053	48	839	32	17	62	0	707	62	175	564	50
peak271	115	21	39	86	0	315	178	228	857	175	127	46	28	17	0	198	149	354	511	215
peak272	6	9	3	41	0	12	10	22	115	23	21	7	7	7	0	50	20	32	227	31
peak273	11	7	15	26	0	28	59	78	91	98	21	25	13	4	0	34	71	102	76	97
peak274	206	15	22	91	0	341	182	263	1774	99	372	42	26	22	26	374	239	461	576	141
peak275	31	6	4	10	0	59	27	26	144	17	31	11	1	5	0	130	56	60	52	18
peak276	23	7	8	6	0	26	7	9	13	9	80	2	2	25	0	130	6	15	174	2
peak277	20	0	3	7	0	89	11	13	118	21	18	1	0	3	0	90	22	21	62	11
peak278	25	1	1	6	0	150	19	25	80	27	7	7	1	0	0	25	19	53	23	15
