control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak377	206	207	630	461	154	134	470	316
peak378	112	135	212	183	94	82	160	117
peak379	29	43	145	235	50	25	100	97
peak380	70	79	340	369	112	89	404	309
peak381	62	58	262	244	106	121	400	318
peak382	85	87	457	348	85	98	392	340
peak383	53	69	127	135	23	30	49	25
peak384	250	230	424	323	179	202	270	279
peak385	47	42	224	225	53	55	238	203
peak386	52	73	172	253	54	59	112	63
peak387	101	109	532	446	109	100	303	265
peak388	70	45	172	124	50	52	89	81
peak389	40	54	198	199	40	66	172	144
peak390	55	82	170	113	78	95	174	132
peak391	100	108	502	498	133	139	573	442
peak392	86	75	340	311	92	98	351	273
peak393	87	120	116	105	116	99	128	126
peak394	99	93	342	304	109	111	339	266
peak395	324	344	446	371	370	361	521	456
peak396	558	532	1101	1012	465	493	938	765
peak397	355	405	772	643	341	421	697	672
peak398	22	39	164	511	32	26	113	108
peak399	14	18	59	40	19	15	69	60
peak400	30	35	58	57	39	52	93	65
peak401	17	23	71	76	39	39	83	74
peak402	58	74	242	244	67	82	255	180
peak403	171	233	905	797	247	290	1032	766
peak404	148	135	480	425	189	201	544	451
peak405	256	253	1410	1356	284	300	1466	1039
peak406	50	51	125	86	54	57	131	116
peak407	60	88	246	291	64	87	223	183
peak408	30	49	237	311	45	56	207	193
peak409	145	135	678	723	95	115	444	357
peak410	101	84	327	319	70	82	263	251
peak411	82	92	185	128	73	68	80	96
peak412	68	47	107	94	61	74	59	73
peak413	31	41	244	273	22	22	160	114
peak414	35	52	142	141	28	18	74	61
peak415	58	37	262	209	54	56	290	271
peak416	0	0	0	0	0	0	0	0
peak417	107	88	326	334	71	95	265	211
peak418	106	126	587	476	85	97	464	319
peak419	85	102	487	436	99	91	378	281
peak420	74	47	209	166	44	66	156	93
peak421	49	44	125	132	45	45	122	106
peak422	66	68	359	343	61	54	296	226
peak423	24	35	125	116	32	37	84	67
peak424	58	76	261	256	64	41	231	169
peak425	46	37	120	78	46	42	96	80
peak426	47	52	203	188	51	45	167	92
peak427	241	369	678	929	388	390	606	579
peak428	229	206	494	478	248	286	624	501
peak429	56	78	185	146	58	68	126	123
peak430	157	170	991	845	146	180	858	612
peak431	122	113	633	634	99	102	545	429
peak432	137	133	555	565	121	144	485	353
peak433	91	78	304	250	70	63	195	168
peak434	73	59	290	312	68	49	209	182
peak435	479	574	2762	2772	598	611	2390	2158
peak436	37	31	239	230	60	36	324	213
peak437	26	27	69	97	40	37	72	78
peak438	76	80	300	283	88	94	351	300
peak439	40	29	146	136	50	41	169	124
peak440	39	26	136	123	40	46	136	109
peak441	116	109	317	285	85	87	186	139
peak442	43	45	152	97	55	36	69	58
peak443	182	212	1034	990	264	294	1174	951
peak444	94	91	277	312	135	95	316	272
peak445	87	86	444	482	93	117	389	379
peak446	299	362	842	553	636	722	1258	1091
peak447	20	33	92	57	25	13	47	33
peak448	3542	3639	4159	3394	3374	3595	3699	3133
peak449	20	13	60	83	29	18	119	105
peak450	95	104	290	299	118	107	298	206
peak451	531	518	3560	3311	589	619	3589	2734
peak452	135	135	664	590	134	155	682	579
peak453	65	51	90	72	65	65	102	112
peak454	43	79	277	401	76	96	339	313
peak455	113	112	432	368	200	176	444	352
peak456	66	83	264	205	76	99	210	224
peak457	19	30	139	151	35	40	238	170
peak458	32	30	257	240	39	39	295	267
peak459	12	9	92	75	18	23	109	66
peak460	132	101	255	208	136	146	245	213
peak461	21	37	77	85	20	40	75	72
peak462	61	92	236	210	78	75	195	164
peak463	155	162	321	242	158	145	226	182
peak464	194	219	496	423	210	204	388	331
peak465	307	337	505	409	279	240	428	299
peak466	183	174	497	419	157	138	433	287
peak467	176	194	887	766	131	127	683	499
peak468	204	237	988	1064	238	225	924	802
peak469	734	847	3720	3870	580	552	2171	1949
peak470	486	534	1312	1005	328	384	925	690
peak471	10	8	55	104	5	3	23	23
peak472	190	175	672	626	161	155	464	453
peak473	17	14	163	138	13	17	106	86
peak474	48	62	327	302	37	51	211	145
peak475	47	38	190	200	44	32	154	84
peak476	50	44	251	202	36	35	113	69
peak477	22	25	87	89	34	34	92	91
peak478	80	64	207	182	63	65	160	134
peak479	57	67	174	203	53	67	148	160
peak480	81	71	178	167	79	66	172	129
peak481	21	27	92	116	40	47	88	101
peak482	49	33	172	168	84	73	240	209
peak483	28	24	157	127	49	44	167	154
peak484	103	110	458	386	122	166	499	372
peak485	14	20	47	63	15	10	38	25
peak486	105	76	235	220	88	103	189	202
peak487	80	62	130	124	83	77	104	83
peak488	13	22	68	77	21	18	103	92
peak489	32	29	77	64	26	39	59	39
peak490	20	22	144	98	25	25	85	84
peak491	31	52	121	116	24	24	121	74
peak492	35	31	180	161	31	37	146	150
peak493	1899	1979	3256	3055	2864	3230	4535	4226
peak494	1045	1058	2749	2328	1389	1625	3554	3096
peak495	26	27	199	181	36	39	221	165
peak496	153	156	733	697	143	131	559	558
peak497	109	98	137	117	161	177	171	203
peak498	138	142	937	809	193	215	1164	955
peak499	141	129	389	320	135	125	307	227
peak500	123	127	420	400	110	117	334	287
peak501	102	97	382	295	105	85	303	227
peak502	126	146	434	385	127	99	316	246
peak503	219	230	1185	1040	219	206	955	742
peak504	39	54	123	114	29	23	39	22
peak505	1281	1340	2310	1851	1341	1564	2600	2063
