control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak664	7	10	38	176	13	4	183	90
peak665	3	1	35	70	5	2	18	24
peak666	61	50	493	809	75	54	960	423
peak667	10	8	24	4	15	12	47	34
peak668	13	4	80	50	12	16	66	37
peak669	162	92	640	495	77	63	259	306
peak670	59	49	168	129	35	51	78	31
peak671	47	46	198	148	59	72	141	167
peak672	53	35	127	117	6	5	67	61
peak673	8	3	47	32	0	0	7	6
peak674	24	15	68	29	18	22	40	27
peak675	17	9	51	76	9	6	163	96
peak676	13	10	51	11	3	0	5	0
peak677	10	7	44	29	1	0	5	0
peak678	6	9	42	37	2	0	0	5
peak679	7	5	33	99	14	11	196	75
peak680	47	29	85	23	34	28	41	84
peak681	42	20	162	25	19	14	61	90
peak682	45	56	271	134	40	39	132	101
peak683	14	8	46	28	6	5	22	12
peak684	9	5	28	63	5	8	24	9
