control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak396	113	190	96	101	92	109	69	101
peak397	19	22	26	70	22	10	79	35
peak398	9	14	14	47	19	8	29	16
peak399	7	3	13	52	8	4	33	12
peak400	364	322	652	1506	392	245	467	495
peak401	18	27	32	99	48	32	22	36
peak402	21	19	30	91	25	10	37	25
peak403	33	34	330	626	55	18	289	296
peak404	68	78	134	279	115	40	87	91
peak405	201	237	140	297	176	89	104	45
peak406	192	176	471	1021	140	57	264	181
peak407	57	75	48	78	36	22	27	8
peak408	87	89	142	463	60	44	141	103
peak409	32	30	26	65	24	7	25	9
peak410	8	9	51	74	2	9	41	16
peak411	26	31	27	95	12	10	22	26
peak412	53	62	420	651	21	17	120	145
peak413	34	36	21	64	12	8	0	16
peak414	19	29	26	43	9	0	9	18
peak415	28	30	61	139	10	6	43	18
peak416	169	163	130	200	164	114	114	96
peak417	77	87	178	307	80	47	106	125
peak418	127	112	353	791	133	75	241	257
peak419	30	30	49	128	41	15	26	23
peak420	16	25	28	77	9	14	1	9
peak421	20	32	118	243	20	16	94	101
peak422	35	30	67	159	40	19	22	53
peak423	23	28	21	83	21	16	21	28
peak424	178	129	311	648	217	132	206	178
peak425	86	104	143	108	94	102	86	103
peak426	91	102	34	59	92	58	44	78
peak427	51	48	18	40	48	19	62	35
peak428	4	5	56	115	4	3	22	35
peak429	259	299	560	1295	279	161	513	606
peak430	355	391	1679	3966	358	244	1893	2302
peak431	50	53	61	133	59	31	68	54
peak432	489	515	307	376	695	400	368	418
peak433	132	139	96	218	202	98	101	58
peak434	40	36	39	102	53	26	41	92
peak435	89	82	64	107	105	59	45	82
peak436	138	140	190	314	208	88	86	99
peak437	1189	1105	650	1341	1205	593	187	182
peak438	21	17	44	95	12	5	27	50
peak439	10	11	64	181	17	4	71	76
peak440	13	14	51	160	16	8	90	41
peak441	15	15	68	132	9	12	40	43
peak442	286	273	251	577	245	168	175	235
peak443	322	304	1065	1806	298	199	497	624
peak444	257	270	218	474	241	163	128	156
peak445	90	72	84	226	113	57	61	71
peak446	20	19	20	45	27	7	2	2
peak447	46	30	33	69	45	43	26	51
peak448	14	17	10	64	12	8	18	7
peak449	43	57	37	117	40	25	56	35
peak450	18	31	28	40	25	17	18	20
peak451	193	182	196	414	195	123	441	481
peak452	1048	981	274	636	913	465	146	122
peak453	483	437	63	173	492	295	213	81
peak454	6	6	22	29	6	3	11	27
peak455	28	26	203	384	29	15	89	157
peak456	12	16	18	47	15	7	29	8
peak457	18	20	31	61	24	5	52	26
peak458	58	48	60	141	73	47	70	34
peak459	12	14	56	150	15	9	25	58
peak460	14	13	29	36	15	9	44	39
peak461	12	11	33	59	11	4	13	35
peak462	18	17	31	54	25	23	15	18
peak463	246	234	201	401	230	150	149	133
peak464	180	213	179	253	228	117	136	98
peak465	36	34	17	83	31	20	26	18
peak466	47	45	75	182	29	18	60	40
peak467	1	5	41	69	1	2	1	14
peak468	217	255	744	1878	233	174	838	729
peak469	10	8	44	115	8	10	24	27
peak470	146	156	158	199	155	90	71	95
peak471	305	272	618	1348	339	192	455	614
peak472	326	308	448	945	387	220	369	438
peak473	65	60	164	301	89	38	61	115
peak474	543	599	1021	2251	633	307	934	817
peak475	269	230	246	666	252	140	223	186
peak476	883	841	4782	6858	937	579	7327	6641
peak477	328	373	273	650	387	203	98	182
peak478	75	83	80	188	80	36	34	101
peak479	66	86	49	122	78	37	72	70
peak480	64	71	75	248	50	36	64	107
peak481	84	86	78	161	68	50	58	67
peak482	8	7	18	44	4	1	24	9
peak483	115	125	145	292	145	108	117	98
peak484	175	175	302	570	196	178	413	463
peak485	57	49	49	87	90	38	42	30
peak486	185	178	522	1082	154	119	290	404
peak487	284	317	110	278	350	189	27	51
peak488	557	515	990	2197	553	279	671	521
peak489	1117	1044	2625	5949	1238	598	1782	1347
peak490	531	528	954	2024	363	169	352	489
peak491	716	634	485	1262	906	594	315	329
peak492	55	45	39	52	63	21	37	6
peak493	91	76	55	200	87	51	50	37
peak494	310	341	741	1416	407	236	725	669
peak495	87	74	140	247	93	49	87	65
peak496	23	25	26	47	19	13	15	22
peak497	143	164	92	138	252	184	74	82
peak498	25	29	28	36	43	27	48	43
peak499	193	168	54	175	289	153	81	94
peak500	569	480	1649	2890	712	386	1123	1251
peak501	43	49	58	104	77	30	55	69
peak502	95	105	42	128	115	65	40	29
peak503	39	42	78	137	24	13	28	25
peak504	15	17	34	40	29	11	39	30
peak505	128	150	308	746	172	88	308	252
peak506	48	61	85	228	58	36	81	86
peak507	17	18	27	45	25	16	6	34
peak508	29	19	27	55	25	13	14	24
peak509	80	65	120	275	87	59	110	103
peak510	51	47	72	83	86	37	66	66
peak511	85	116	155	367	100	73	94	126
peak512	79	78	147	314	92	57	86	83
peak513	43	41	69	116	44	34	74	160
peak514	100	85	146	260	119	62	126	153
peak515	308	288	716	1467	400	186	576	665
peak516	160	125	80	210	213	94	160	123
peak517	424	408	990	2174	500	274	807	860
peak518	127	130	136	253	176	74	154	126
peak519	9	9	8	31	7	4	27	13
peak520	7	21	11	39	20	11	23	8
peak521	14	28	52	113	41	16	28	18
peak522	52	38	79	114	38	25	23	52
peak523	23	17	38	59	17	9	8	13
peak524	215	214	916	2213	272	138	798	773
peak525	54	42	39	68	65	35	5	24
peak526	72	104	197	350	104	82	202	221
peak527	42	24	21	24	14	22	61	36
peak528	18	15	16	86	11	8	27	16
peak529	31	36	84	227	25	22	23	80
peak530	18	21	28	59	24	11	21	28
peak531	11	18	16	83	15	9	13	21
peak532	56	54	101	225	78	44	77	96
peak533	17	19	46	129	19	18	39	53
peak534	23	19	46	74	24	11	32	35
peak535	47	53	36	103	55	30	49	27
peak536	99	128	129	307	100	84	101	106
peak537	169	184	199	460	186	91	170	99
peak538	1174	1252	947	1474	1652	1249	518	1173
peak539	135	127	78	218	171	97	15	15
peak540	45	50	46	108	57	30	9	39
peak541	48	55	99	152	62	25	104	62
peak542	442	403	190	396	397	253	123	54
peak543	195	168	72	157	183	100	136	84
peak544	257	254	259	526	250	108	389	284
peak545	284	238	37	128	288	162	41	28
peak546	80	62	30	85	104	59	8	30
peak547	71	53	32	96	78	49	16	15
peak548	137	126	140	298	154	96	113	135
peak549	259	225	144	341	278	179	68	56
peak550	49	33	46	113	43	16	27	41
peak551	93	99	473	1158	97	56	375	422
peak552	28	28	46	112	50	16	55	87
peak553	71	89	41	59	102	70	42	74
peak554	297	285	116	327	408	256	113	76
peak555	95	112	84	205	106	58	30	40
peak556	70	57	52	131	61	36	18	29
peak557	18	11	33	43	31	17	43	31
peak558	47	40	43	82	84	38	22	21
peak559	240	244	196	345	282	138	80	65
peak560	340	345	385	680	417	271	407	264
peak561	237	235	452	1233	294	158	469	329
peak562	123	120	25	84	133	79	52	23
peak563	1650	1582	927	2206	1630	840	1532	1011
peak564	6	12	27	93	12	8	12	21
peak565	221	201	418	1042	229	107	167	311
peak566	37	36	73	149	48	28	128	76
peak567	35	37	64	115	23	26	65	58
peak568	52	62	154	200	66	34	135	128
peak569	15	19	11	41	14	7	9	6
peak570	22	13	36	65	19	10	55	28
peak571	20	23	97	274	21	13	93	99
peak572	17	25	24	71	19	12	38	31
peak573	5	2	14	38	6	0	4	9
peak574	88	77	170	293	77	57	66	89
peak575	33	46	74	114	38	18	71	39
peak576	705	790	2372	5014	812	532	2008	2154
peak577	24	47	39	72	37	24	3	9
peak578	151	171	420	879	156	95	287	306
peak579	36	30	33	55	45	22	17	23
peak580	13	15	21	52	13	11	33	15
peak581	1570	1907	2975	3187	2184	1519	901	2957
peak582	19	20	113	132	11	21	202	79
peak583	68	63	161	280	57	34	117	116
peak584	61	53	117	230	58	51	125	141
peak585	106	114	288	617	93	41	124	205
peak586	14	18	27	44	20	5	13	16
peak587	81	87	102	213	118	43	44	79
peak588	100	104	111	272	123	56	71	123
peak589	51	50	60	153	54	31	46	47
peak590	26	31	39	126	36	23	31	29
peak591	137	132	457	629	122	72	194	173
peak592	22	19	22	56	22	12	5	20
peak593	12	10	29	84	16	9	55	34
peak594	2162	1855	448	926	2334	1304	450	338
peak595	9	13	28	97	8	8	42	30
peak596	4	9	32	45	9	11	26	25
peak597	6	6	11	50	4	0	11	14
peak598	180	155	81	199	257	156	23	75
peak599	105	101	97	254	106	73	112	136
peak600	68	55	24	73	62	40	1	24
peak601	119	112	147	315	146	94	117	152
peak602	58	60	87	180	63	40	43	45
peak603	68	62	66	110	57	26	38	46
peak604	40	35	37	64	45	25	1	23
peak605	29	33	47	83	43	14	20	41
peak606	76	123	381	933	125	64	486	410
peak607	27	37	16	58	44	20	8	4
peak608	30	31	30	60	31	19	14	31
peak609	66	72	94	202	81	34	164	176
peak610	35	30	59	94	45	24	55	60
peak611	70	64	65	45	36	54	62	64
peak612	30	20	22	64	22	16	2	36
peak613	32	31	41	146	42	29	71	57
peak614	45	47	34	70	46	26	27	24
peak615	42	36	94	157	43	29	25	79
peak616	333	264	1523	1773	320	196	1454	783
peak617	312	299	856	1988	402	160	548	712
peak618	265	213	144	211	360	152	137	129
peak619	181	209	339	789	234	102	225	300
peak620	162	147	117	297	163	96	99	99
peak621	164	142	111	175	184	81	77	115
peak622	144	151	99	322	160	91	160	148
peak623	154	158	213	519	171	69	111	207
peak624	31	28	111	277	50	31	126	86
peak625	97	112	133	274	120	51	109	123
peak626	61	49	56	102	53	48	17	23
peak627	85	61	79	198	70	58	43	77
peak628	189	166	183	373	178	126	192	170
peak629	68	101	51	145	84	57	50	58
peak630	151	164	166	415	165	109	86	112
peak631	27	20	71	149	26	14	45	53
peak632	49	57	52	67	83	46	37	26
peak633	429	412	258	629	551	317	137	99
peak634	4	4	22	50	0	1	27	12
peak635	18	28	18	58	36	14	36	31
peak636	30	28	14	48	41	14	9	5
peak637	233	231	268	633	243	133	196	146
peak638	1	3	10	46	3	0	9	10
peak639	146	132	78	125	159	77	24	20
peak640	191	191	369	809	221	122	251	327
peak641	29	36	26	78	25	22	22	36
peak642	53	56	775	2026	60	32	551	849
peak643	20	17	67	148	17	8	35	33
peak644	5	6	14	53	3	0	1	12
peak645	45	39	33	77	59	32	21	39
peak646	216	210	318	578	237	137	150	268
peak647	65	94	72	43	71	67	44	82
peak648	1002	920	1536	3238	1426	829	1137	1309
peak649	56	46	20	88	77	33	31	48
peak650	15	15	23	69	21	19	19	21
peak651	121	110	70	184	166	97	59	57
peak652	90	108	111	188	109	75	61	40
peak653	31	33	61	114	31	16	27	21
peak654	268	240	129	246	239	146	27	42
peak655	15	16	93	133	8	5	14	28
peak656	84	77	78	90	109	51	14	36
peak657	2	4	24	65	4	3	34	21
peak658	171	162	370	552	182	120	142	225
peak659	173	170	246	555	229	139	204	185
peak660	106	111	413	443	117	108	1359	919
peak661	362	354	171	288	427	233	56	121
peak662	359	414	1186	2416	452	244	899	1059
peak663	4	8	39	94	9	7	51	56
peak664	234	244	649	1527	210	129	549	412
peak665	27	23	49	52	18	9	18	19
peak666	43	26	45	53	41	30	31	54
peak667	80	83	91	174	102	67	110	44
peak668	179	176	317	365	203	108	241	286
peak669	151	147	112	224	191	82	73	41
peak670	140	153	210	441	193	86	115	162
peak671	71	66	63	73	79	38	7	6
peak672	196	181	202	454	218	99	151	202
peak673	62	40	28	62	46	24	8	31
